,demand
1/1/2020 0:00,43214
1/1/2020 1:00,42322
1/1/2020 2:00,41202
1/1/2020 3:00,41202
1/1/2020 4:00,41202
1/1/2020 5:00,39693
1/1/2020 6:00,38609
1/1/2020 7:00,39121
1/1/2020 8:00,39858
1/1/2020 9:00,42168
1/1/2020 10:00,44272
1/1/2020 11:00,46342
1/1/2020 12:00,47714
1/1/2020 13:00,47524
1/1/2020 14:00,45956
1/1/2020 15:00,45993
1/1/2020 16:00,48733
1/1/2020 17:00,52668
1/1/2020 18:00,53473
1/1/2020 19:00,52296
1/1/2020 20:00,50200
1/1/2020 21:00,48797
1/1/2020 22:00,47901
1/1/2020 23:00,45043
1/2/2020 0:00,43651
1/2/2020 1:00,42314
1/2/2020 2:00,41668
1/2/2020 3:00,41690
1/2/2020 4:00,42781
1/2/2020 5:00,45085
1/2/2020 6:00,49458
1/2/2020 7:00,54368
1/2/2020 8:00,57813
1/2/2020 9:00,59850
1/2/2020 10:00,60799
1/2/2020 11:00,61523
1/2/2020 12:00,61799
1/2/2020 13:00,60957
1/2/2020 14:00,60021
1/2/2020 15:00,60059
1/2/2020 16:00,61730
1/2/2020 17:00,64717
1/2/2020 18:00,64975
1/2/2020 19:00,63602
1/2/2020 20:00,59912
1/2/2020 21:00,57149
1/2/2020 22:00,55272
1/2/2020 23:00,51836
1/3/2020 0:00,48875
1/3/2020 1:00,47411
1/3/2020 2:00,46626
1/3/2020 3:00,46615
1/3/2020 4:00,47536
1/3/2020 5:00,49535
1/3/2020 6:00,53537
1/3/2020 7:00,57602
1/3/2020 8:00,60492
1/3/2020 9:00,62319
1/3/2020 10:00,63367
1/3/2020 11:00,64565
1/3/2020 12:00,64817
1/3/2020 13:00,63464
1/3/2020 14:00,62319
1/3/2020 15:00,61923
1/3/2020 16:00,62853
1/3/2020 17:00,64749
1/3/2020 18:00,64498
1/3/2020 19:00,62654
1/3/2020 20:00,58995
1/3/2020 21:00,55798
1/3/2020 22:00,54289
1/3/2020 23:00,51216
1/4/2020 0:00,48513
1/4/2020 1:00,46307
1/4/2020 2:00,45462
1/4/2020 3:00,45167
1/4/2020 4:00,45976
1/4/2020 5:00,46439
1/4/2020 6:00,46916
1/4/2020 7:00,49697
1/4/2020 8:00,52742
1/4/2020 9:00,56191
1/4/2020 10:00,58930
1/4/2020 11:00,60554
1/4/2020 12:00,61415
1/4/2020 13:00,60149
1/4/2020 14:00,58857
1/4/2020 15:00,58512
1/4/2020 16:00,59697
1/4/2020 17:00,62331
1/4/2020 18:00,62140
1/4/2020 19:00,59823
1/4/2020 20:00,56275
1/4/2020 21:00,53612
1/4/2020 22:00,52136
1/4/2020 23:00,49265
1/5/2020 0:00,46252
1/5/2020 1:00,44090
1/5/2020 2:00,43469
1/5/2020 3:00,42431
1/5/2020 4:00,42382
1/5/2020 5:00,41880
1/5/2020 6:00,40958
1/5/2020 7:00,42317
1/5/2020 8:00,44500
1/5/2020 9:00,47829
1/5/2020 10:00,50583
1/5/2020 11:00,53048
1/5/2020 12:00,53702
1/5/2020 13:00,52445
1/5/2020 14:00,51326
1/5/2020 15:00,51289
1/5/2020 16:00,53015
1/5/2020 17:00,56668
1/5/2020 18:00,57564
1/5/2020 19:00,56179
1/5/2020 20:00,53786
1/5/2020 21:00,52258
1/5/2020 22:00,51635
1/5/2020 23:00,48647
1/6/2020 0:00,46378
1/6/2020 1:00,44965
1/6/2020 2:00,43967
1/6/2020 3:00,44309
1/6/2020 4:00,45532
1/6/2020 5:00,48282
1/6/2020 6:00,53088
1/6/2020 7:00,57674
1/6/2020 8:00,60626
1/6/2020 9:00,62120
1/6/2020 10:00,63099
1/6/2020 11:00,64090
1/6/2020 12:00,64137
1/6/2020 13:00,63130
1/6/2020 14:00,62101
1/6/2020 15:00,61830
1/6/2020 16:00,63201
1/6/2020 17:00,66708
1/6/2020 18:00,67112
1/6/2020 19:00,65645
1/6/2020 20:00,61963
1/6/2020 21:00,59306
1/6/2020 22:00,57049
1/6/2020 23:00,53413
1/7/2020 0:00,51049
1/7/2020 1:00,49798
1/7/2020 2:00,49075
1/7/2020 3:00,49387
1/7/2020 4:00,50712
1/7/2020 5:00,54085
1/7/2020 6:00,61408
1/7/2020 7:00,67642
1/7/2020 8:00,70095
1/7/2020 9:00,70380
1/7/2020 10:00,70549
1/7/2020 11:00,70979
1/7/2020 12:00,70454
1/7/2020 13:00,70668
1/7/2020 14:00,70296
1/7/2020 15:00,69420
1/7/2020 16:00,70080
1/7/2020 17:00,72521
1/7/2020 18:00,72190
1/7/2020 19:00,70645
1/7/2020 20:00,66796
1/7/2020 21:00,63444
1/7/2020 22:00,60365
1/7/2020 23:00,56690
1/8/2020 0:00,54238
1/8/2020 1:00,52875
1/8/2020 2:00,51671
1/8/2020 3:00,51722
1/8/2020 4:00,52934
